word,phonemes,mx_ipa
abrillantar,"['a', 'b', 'r', 'i', 'Y', 'a', 'n', 't', 'A', 'r']",aβɾiʎantaɾ
abrimiento,"['a', 'b', 'r', 'i', 'm', 'J', 'E', 'n', 't', 'o']",aβɾimjɛnto
abrir,"['a', 'b', 'r', 'I', 'r']",aβɾiɾ
abrochador,"['a', 'b', 'r', 'o', 'C', 'a', 'D', 'O', 'r']",aβɾotʃaðoɾ
abrochamiento,"['a', 'b', 'r', 'o', 'C', 'a', 'm', 'J', 'E', 'n', 't', 'o']",aβɾotʃamjɛnto
abrochar,"['a', 'b', 'r', 'o', 'C', 'A', 'r']",aβɾotʃaɾ
abrogar,"['a', 'b', 'r', 'o', 'G', 'A', 'r']",aβɾoɣaɾ
abroncar,"['a', 'b', 'r', 'o', 'n', 'k', 'A', 'r']",aβɾoŋkaɾ
abroquelar,"['a', 'b', 'r', 'o', 'k', 'e', 'l', 'A', 'r']",aβɾokɛlaɾ
abrótano,"['a', 'b', 'r', 'O', 't', 'a', 'n', 'o']",aβɾotano
abrotoñar,"['a', 'b', 'r', 'o', 't', 'o', 'N', 'A', 'r']",aβɾotoɲaɾ
abrumar,"['a', 'b', 'r', 'u', 'm', 'A', 'r']",aβɾumaɾ
abruptamente,"['a', 'b', 'r', 'u', 'p', 't', 'a', 'm', 'E', 'n', 't', 'e']",aβɾuptamɛntɛ
abrupto,"['a', 'b', 'r', 'U', 'p', 't', 'o']",aβɾupto
absceso,"['a', 'b', 's', 'E', 's', 'o']",aβssɛso
abscisa,"['a', 'b', 's', 'I', 's', 'a']",aβssisa
absentismo,"['a', 'b', 's', 'e', 'n', 't', 'I', 's', 'm', 'o']",aβsɛntizmo
