entry,phonemes,mappings
exotiquez,"['e', 'k', 's', 'o', 't', 'I', 'k', 'e', 'T']","[('e', 'e'), ('x', 'k'), ('o', 's'), ('t', 'o'), ('i', 't'), ('q', 'I'), ('u', 'k'), ('e', 'e'), ('z', 'T')]"
expillo,"['e', 'k', 's', 'p', 'I', 'Y', 'o']","[('e', 'e'), ('x', 'k'), ('p', 's'), ('i', 'p'), ('l', 'I'), ('l', 'Y'), ('o', 'o')]"
explique,"['e', 'k', 's', 'p', 'l', 'I', 'k', 'e']","[('e', 'e'), ('x', 'k'), ('p', 's'), ('l', 'p'), ('i', 'l'), ('q', 'I'), ('u', 'k'), ('e', 'e')]"
express,"['E', 'k', 's', 'p', 'r', 'e', 's']","[('e', 'E'), ('x', 'k'), ('p', 's'), ('r', 'p'), ('e', 'r'), ('s', 'e'), ('s', 's')]"
expurgue,"['e', 'k', 's', 'p', 'U', 'r', 'g', 'e']","[('e', 'e'), ('x', 'k'), ('p', 's'), ('u', 'p'), ('r', 'U'), ('g', 'r'), ('u', 'g'), ('e', 'e')]"
expurguemos,"['e', 'k', 's', 'p', 'u', 'r', 'g', 'E', 'm', 'o', 's']","[('e', 'e'), ('x', 'k'), ('p', 's'), ('u', 'p'), ('r', 'u'), ('g', 'r'), ('u', 'g'), ('e', 'E'), ('m', 'm'), ('o', 'o'), ('s', 's')]"
extingue,"['e', 'k', 's', 't', 'I', 'n', 'g', 'e']","[('e', 'e'), ('x', 'k'), ('t', 's'), ('i', 't'), ('n', 'I'), ('g', 'n'), ('u', 'g'), ('e', 'e')]"
extinguible,"['e', 'k', 's', 't', 'i', 'n', 'g', 'I', 'b', 'l', 'e']","[('e', 'e'), ('x', 'k'), ('t', 's'), ('i', 't'), ('n', 'i'), ('g', 'n'), ('u', 'g'), ('i', 'I'), ('b', 'b'), ('l', 'l'), ('e', 'e')]"
extracurricular,"['e', 'k', 's', 't', 'r', 'a', 'k', 'u', 'R', 'i', 'k', 'u', 'l', 'A', 'r']","[('e', 'e'), ('x', 'k'), ('t', 's'), ('r', 't'), ('a', 'r'), ('c', 'a'), ('u', 'k'), ('r', 'u'), ('r', 'R'), ('i', 'i'), ('c', 'k'), ('u', 'u'), ('l', 'l'), ('a', 'A'), ('r', 'r')]"
extrarradio,"['e', 'k', 's', 't', 'r', 'a', 'R', 'A', 'D', 'j', 'o']","[('e', 'e'), ('x', 'k'), ('t', 's'), ('r', 't'), ('a', 'r'), ('r', 'a'), ('r', 'R'), ('a', 'A'), ('d', 'D'), ('i', 'j'), ('o', 'o')]"
extraterrestre,"['e', 'k', 's', 't', 'r', 'a', 't', 'e', 'R', 'E', 's', 't', 'r', 'e']","[('e', 'e'), ('x', 'k'), ('t', 's'), ('r', 't'), ('a', 'r'), ('t', 'a'), ('e', 't'), ('r', 'e'), ('r', 'R'), ('e', 'E'), ('s', 's'), ('t', 't'), ('r', 'r'), ('e', 'e')]"
federaciòn,"['f', 'e', 'D', 'e', 'r', 'A', 'T', 'j', 'o', 'n']","[('f', 'f'), ('e', 'e'), ('d', 'D'), ('e', 'e'), ('r', 'r'), ('a', 'A'), ('c', 'T'), ('i', 'j'), ('ò', 'o'), ('n', 'n')]"
françois,"['f', 'r', 'A', 'n', 's', 'o', 'j', 's']","[('f', 'f'), ('r', 'r'), ('a', 'A'), ('n', 'n'), ('ç', 's'), ('o', 'o'), ('i', 'j'), ('s', 's')]"
grüber,"['g', 'r', 'U', 'B', 'e', 'r']","[('g', 'g'), ('r', 'r'), ('ü', 'U'), ('b', 'B'), ('e', 'e'), ('r', 'r')]"
hápax,"['A', 'p', 'a', 'k', 's']","[('h', 'A'), ('á', 'p'), ('p', 'a'), ('a', 'k'), ('x', 's')]"
hematoxilina,"['e', 'm', 'a', 't', 'o', 'k', 's', 'i', 'l', 'I', 'n', 'a']","[('h', 'e'), ('e', 'm'), ('m', 'a'), ('a', 't'), ('t', 'o'), ('o', 'k'), ('x', 's'), ('i', 'i'), ('l', 'l'), ('i', 'I'), ('n', 'n'), ('a', 'a')]"
hemotórax,"['e', 'm', 'o', 't', 'O', 'r', 'a', 'k', 's']","[('h', 'e'), ('e', 'm'), ('m', 'o'), ('o', 't'), ('t', 'O'), ('ó', 'r'), ('r', 'a'), ('a', 'k'), ('x', 's')]"
heterodoxia,"['e', 't', 'e', 'r', 'o', 'D', 'O', 'k', 's', 'j', 'a']","[('h', 'e'), ('e', 't'), ('t', 'e'), ('e', 'r'), ('r', 'o'), ('o', 'D'), ('d', 'O'), ('o', 'k'), ('x', 's'), ('i', 'j'), ('a', 'a')]"
hidrotórax,"['i', 'd', 'r', 'o', 't', 'O', 'r', 'a', 'k', 's']","[('h', 'i'), ('i', 'd'), ('d', 'r'), ('r', 'o'), ('o', 't'), ('t', 'O'), ('ó', 'r'), ('r', 'a'), ('a', 'k'), ('x', 's')]"
hidróxido,"['i', 'd', 'r', 'O', 'k', 's', 'i', 'D', 'o']","[('h', 'i'), ('i', 'd'), ('d', 'r'), ('r', 'O'), ('ó', 'k'), ('x', 's'), ('i', 'i'), ('d', 'D'), ('o', 'o')]"
hiperoxia,"['i', 'p', 'e', 'r', 'O', 'k', 's', 'j', 'a']","[('h', 'i'), ('i', 'p'), ('p', 'e'), ('e', 'r'), ('r', 'O'), ('o', 'k'), ('x', 's'), ('i', 'j'), ('a', 'a')]"
hipertexto,"['i', 'p', 'e', 'r', 't', 'E', 'k', 's', 't', 'o']","[('h', 'i'), ('i', 'p'), ('p', 'e'), ('e', 'r'), ('r', 't'), ('t', 'E'), ('e', 'k'), ('x', 's'), ('t', 't'), ('o', 'o')]"
hipotaxis,"['i', 'p', 'o', 't', 'A', 'k', 's', 'i', 's']","[('h', 'i'), ('i', 'p'), ('p', 'o'), ('o', 't'), ('t', 'A'), ('a', 'k'), ('x', 's'), ('i', 'i'), ('s', 's')]"
hipoxia,"['i', 'p', 'O', 'k', 's', 'j', 'a']","[('h', 'i'), ('i', 'p'), ('p', 'O'), ('o', 'k'), ('x', 's'), ('i', 'j'), ('a', 'a')]"
homosexual,"['o', 'm', 'o', 's', 'e', 'k', 's', 'W', 'A', 'l']","[('h', 'o'), ('o', 'm'), ('m', 'o'), ('o', 's'), ('s', 'e'), ('e', 'k'), ('x', 's'), ('u', 'W'), ('a', 'A'), ('l', 'l')]"
